month,pickup_community_area,n_trips
2023-01-01,1,75046
2023-01-01,2,56889
2023-01-01,3,127643
2023-01-01,4,61585
2023-01-01,5,64574
2023-01-01,6,386531
2023-01-01,7,293878
2023-01-01,8,844980
2023-01-01,9,6593
2023-01-01,10,22542
2023-01-01,11,20033
2023-01-01,12,8416
2023-01-01,13,15360
2023-01-01,14,42919
2023-01-01,15,44858
2023-01-01,16,58939
2023-01-01,17,19301
2023-01-01,18,8526
2023-01-01,19,51445
2023-01-01,20,17125
2023-01-01,21,63759
2023-01-01,22,195307
2023-01-01,23,55834
2023-01-01,24,309225
2023-01-01,25,98009
2023-01-01,26,22907
2023-01-01,27,31665
2023-01-01,28,476952
2023-01-01,29,53104
2023-01-01,30,41645
2023-01-01,31,68709
2023-01-01,32,417503
2023-01-01,33,92339
2023-01-01,34,24690
2023-01-01,35,37147
2023-01-01,36,8633
2023-01-01,37,5575
2023-01-01,38,37009
2023-01-01,39,29696
2023-01-01,40,21311
2023-01-01,41,150077
2023-01-01,42,56314
2023-01-01,43,63877
2023-01-01,44,50409
2023-01-01,45,9958
2023-01-01,46,23114
2023-01-01,47,3911
2023-01-01,48,10721
2023-01-01,49,43091
2023-01-01,50,11178
2023-01-01,51,13475
2023-01-01,52,3881
2023-01-01,53,22315
2023-01-01,54,8052
2023-01-01,55,3183
2023-01-01,56,79902
2023-01-01,57,12307
2023-01-01,58,24371
2023-01-01,59,14086
2023-01-01,60,27686
2023-01-01,61,29198
2023-01-01,62,9236
2023-01-01,63,16458
2023-01-01,64,10283
2023-01-01,65,16162
2023-01-01,66,35906
2023-01-01,67,28387
2023-01-01,68,34733
2023-01-01,69,45591
2023-01-01,70,21714
2023-01-01,71,48001
2023-01-01,72,9618
2023-01-01,73,23555
2023-01-01,74,5860
2023-01-01,75,17534
2023-01-01,76,272001
2023-01-01,77,88391
2023-02-01,1,78108
2023-02-01,2,54961
2023-02-01,3,125471
2023-02-01,4,60943
2023-02-01,5,62399
2023-02-01,6,369400
2023-02-01,7,276975
2023-02-01,8,832216
2023-02-01,9,5910
2023-02-01,10,21681
2023-02-01,11,19977
2023-02-01,12,8115
2023-02-01,13,15512
2023-02-01,14,42128
2023-02-01,15,43659
2023-02-01,16,59102
2023-02-01,17,19303
2023-02-01,18,8157
2023-02-01,19,50438
2023-02-01,20,16612
2023-02-01,21,62093
2023-02-01,22,192510
2023-02-01,23,56199
2023-02-01,24,303727
2023-02-01,25,100861
2023-02-01,26,24337
2023-02-01,27,33079
2023-02-01,28,473872
2023-02-01,29,55667
2023-02-01,30,40608
2023-02-01,31,66342
2023-02-01,32,433525
2023-02-01,33,103254
2023-02-01,34,23385
2023-02-01,35,38225
2023-02-01,36,8969
2023-02-01,37,5820
2023-02-01,38,38309
2023-02-01,39,29693
2023-02-01,40,22483
2023-02-01,41,148169
2023-02-01,42,56497
2023-02-01,43,66031
2023-02-01,44,52525
2023-02-01,45,9903
2023-02-01,46,23762
2023-02-01,47,3892
2023-02-01,48,10660
2023-02-01,49,44373
2023-02-01,50,11779
2023-02-01,51,13306
2023-02-01,52,3936
2023-02-01,53,23105
2023-02-01,54,8761
2023-02-01,55,3189
2023-02-01,56,74847
2023-02-01,57,11920
2023-02-01,58,23706
2023-02-01,59,13876
