community_area,mean_trip_seconds,n_trips
1,1803.2823810414498,37736.0
2,2030.1598175538038,22582.0
3,1258.2937790021026,104357.0
4,1707.058901868433,33430.0
5,1454.2451488689846,40833.0
6,1184.4186410936525,320837.0
7,1007.4629642238251,298218.0
8,574.976785162407,1735119.0
9,2564.7490494296576,1052.0
10,2444.5813269619557,5441.0
11,2027.6984966132495,6053.0
12,2192.315251084935,3226.0
13,2128.0414177618477,5022.0
14,1834.2493241890459,16736.0
15,1890.5708460754333,16677.0
16,1616.1895752295006,32135.0
17,2297.8535648994516,5470.0
18,2296.387331838565,1784.0
19,2044.071970671469,15548.0
20,1691.3242299538597,8019.0
21,1334.356359044062,36244.0
22,1185.2078680557747,128013.0
23,1362.0929793699024,31265.0
24,874.7440098146988,340876.0
25,1456.0909910675425,40832.0
26,1036.9592712550607,12350.0
27,895.3910007757952,23202.0
28,608.5730410014581,917865.0
29,1032.0441982223304,32852.0
30,1279.681737107406,25790.0
31,854.7583981781368,97645.0
32,447.2147882956539,860814.0
33,691.3885703886466,338624.0
34,786.3528922752961,62578.0
35,929.8015070960938,45518.0
36,998.8895666131622,9345.0
37,1069.7235367372355,1606.0
38,1101.0737342242019,33675.0
39,1095.1479571809589,29134.0
40,1243.0547967945806,13769.0
41,1233.6679793070848,101594.0
42,1395.95130202687,30449.0
43,1466.5884234783787,36885.0
44,1529.661303687336,14482.0
45,1642.3195451872182,5101.0
46,1769.3215912259504,10759.0
47,1760.82421875,512.0
48,1821.5037449176118,4673.0
49,1693.9181154920832,12884.0
50,1812.86270691334,2054.0
51,1965.0994724943482,2654.0
52,2057.6994252873565,1740.0
53,1981.1071225071225,5265.0
54,2059.4007421150277,1078.0
55,2263.0163934426228,1037.0
56,1729.0349993533275,139174.0
57,1473.3649602161838,6661.0
58,1344.4233007225525,15639.0
59,1109.2601453127768,11286.0
60,1012.3870651642507,42411.0
61,1351.7596967228524,15959.0
62,1641.2620106761565,4496.0
63,1664.2040590405904,8130.0
64,1938.3813038130381,3252.0
65,1973.8127214442382,5927.0
66,1904.123846382852,13436.0
67,1592.0753590747995,10722.0
68,1373.550541367055,12099.0
69,1383.6662497157154,17588.0
70,2277.1889628924832,5255.0
71,1694.0217063413995,15249.0
72,1981.2997542997543,3663.0
73,1694.2312400538622,8169.0
74,2296.312925170068,1029.0
75,1930.1031070195627,4345.0
77,1450.872911685424,65663.0
