community_area,community_area_name,area_km2,n_bus_stops,n_rail_stations,bus_stops_per_km2,rail_stations_per_km2,bus_access_z,rail_access_z,weekday_departures,departures_per_km2,freq_access_z,transit_access,transit_access_z,transit_deficit
1,ROGERS PARK,4.758656228014667,97,4.0,20.383905739807737,0.8405734325693912,0.2709355779989328,1.1390804804234524,25123,5279.431586610203,0.36462957620733416,0.5915485448765732,0.6492840711258585,-0.6492840711258585
2,WEST RIDGE,9.137658140841276,195,0.0,21.340259943457124,0.0,0.41248106537570356,-0.545045543464273,26384,2887.3918889649885,-0.5385460196994108,-0.2237034992626601,-0.24553710762092454,0.24553710762092454
3,UPTOWN,6.043042934366745,169,3.0,27.966043239391553,0.4964386373856489,1.3931320859882872,0.44959120817433434,39156,6479.517095157489,0.8177524676828607,0.8868252539484941,0.9733799808112837,-0.9733799808112837
4,LINCOLN SQUARE,6.623966103541513,132,4.0,19.9276382059724,0.6038678244234061,0.20340556641485968,0.6648303325686842,28078,4238.850193540099,-0.028268468378110128,0.2799891435351446,0.3073162677180993,-0.3073162677180993
5,NORTH CENTER,5.296593106232776,113,2.0,21.33446872991377,0.3776012164586508,0.4116239350986901,0.21149518296081377,25551,4824.044340867493,0.19268650709903595,0.27193520838617996,0.29847626321230764,-0.29847626321230764
6,LAKE VIEW,8.09643749965789,220,7.0,27.172444672029638,0.8645777850191249,1.2756752948013985,1.187174261502873,64266,7937.56513314844,1.3682756913858374,1.277041749230036,1.401681862155152,-1.401681862155152
7,LINCOLN PARK,8.198678660118842,166,2.0,20.247165047153317,0.24394174755606404,0.2506972312523512,-0.05629747047791608,44131,5382.696630698331,0.40361992733839824,0.19933989603761113,0.21879560072979432,-0.21879560072979432
8,NEAR NORTH SIDE,7.118003341570187,254,7.0,35.68416419764832,0.9834218479666861,2.53545486608435,1.4252835942981565,76034,10681.928112614145,2.4044799282149283,2.1217394628658117,2.328822627068326,-2.328822627068326
9,EDISON PARK,2.9371120050448623,16,0.0,5.447528038603217,0.0,-1.9397274308454489,-0.545045543464273,1540,524.3245737155596,-1.4307823537030564,-1.3051851093375928,-1.432572032681407,1.432572032681407
10,NORWOOD PARK,11.322618219300523,104,1.0,9.185154704123267,0.08831879523195449,-1.386538888373788,-0.368094933695546,11173,986.7858991266274,-1.2561682853942642,-1.003600702487866,-1.101552789774936,1.101552789774936
11,JEFFERSON PARK,6.022237970750026,99,1.0,16.439071401834735,0.16605122628115895,-0.3129207974509707,-0.21235457246396916,19247,3195.9879522334663,-0.42202770538742074,-0.3157676917674535,-0.34658682574152144,0.34658682574152144
12,FOREST GLEN,8.27469633623822,94,0.0,11.359933486421276,0.0,-1.0646601100902064,-0.545045543464273,9765,1180.103728669189,-1.183176208352908,-0.9309606206357959,-1.0218229882559948,1.0218229882559948
13,NORTH PARK,6.525331184540887,93,0.0,14.252150177499894,0.0,-0.6365967214672617,-0.545045543464273,19756,3027.585794695569,-0.48561223499869766,-0.555751499976744,-0.6099932111480256,0.6099932111480256
14,ALBANY PARK,4.97064880063266,91,3.0,18.307469235890814,0.6035429418425543,-0.036388022223972465,0.6641794159587601,22328,4491.968935153517,0.06730296821506784,0.23169812064995185,0.25431200930297276,-0.25431200930297276
15,PORTAGE PARK,10.230362674821556,243,0.0,23.752823602046792,0.0,0.7695532647548305,-0.545045543464273,46999,4594.069779722622,0.10585374612525979,0.11012048913860577,0.12086832115731638,-0.12086832115731638
16,IRVING PARK,8.319173245335309,155,3.0,18.63165911190886,0.3606127570046876,0.01159379646672293,0.17745805358744515,36706,4412.217286204687,0.03719069911902699,0.07541418305773169,0.0827746568230869,-0.0827746568230869
17,DUNNING,9.617716436107354,163,0.0,16.94788997813,0.0,-0.23761295325136286,-0.545045543464273,28603,2973.990779413818,-0.5058483999387604,-0.4295022988847988,-0.4714220051644681,0.4714220051644681
18,MONTCLARE,2.560171673085722,39,0.0,15.233353454377577,0.0,-0.49137343964201297,-0.545045543464273,9626,3759.904111585604,-0.2091067769573061,-0.4151752533545307,-0.4556966305867334,0.4556966305867334
