month,community_area,n_trips,year,community_area_name,population,tui_index
2018-11-01,1,99221,2018,Rogers Park,55500.0,1787.7657657657658
2018-11-01,2,71955,2018,West Ridge,73723.0,976.0183389172985
2018-11-01,3,187550,2018,Uptown,56296.0,3331.4977973568284
2018-11-01,4,89958,2018,Lincoln Square,41483.0,2168.550972687607
2018-11-01,5,104623,2018,North Center,34942.0,2994.1903726174805
2018-11-01,6,569252,2018,Lake View,99876.0,5699.587488485722
2018-11-01,7,477032,2018,Lincoln Park,67260.0,7092.358013678264
2018-11-01,8,1465849,2018,Near North Side,86343.0,16977.045041288813
2018-11-01,9,8479,2018,Edison Park,11008.0,770.2579941860464
2018-11-01,10,25668,2018,Norwood Park,36164.0,709.7666187368654
2018-11-01,11,22085,2018,Jefferson Park,26755.0,825.453186320314
2018-11-01,12,11077,2018,Forest Glen,18651.0,593.9091737708434
2018-11-01,13,20074,2018,North Park,18743.0,1071.0131782532146
2018-11-01,14,53608,2018,Albany Park,51575.0,1039.4183228308289
2018-11-01,15,52878,2018,Portage Park,64517.0,819.5979354278718
2018-11-01,16,84217,2018,Irving Park,55417.0,1519.6961221285887
2018-11-01,17,22181,2018,Dunning,43444.0,510.5653254764755
2018-11-01,18,8638,2018,Montclare,13040.0,662.4233128834356
2018-11-01,19,60666,2018,Belmont Cragin,78107.0,776.7037525445862
2018-11-01,20,22594,2018,Hermosa,24450.0,924.0899795501023
2018-11-01,21,95068,2018,Avondale,38191.0,2489.2775784870782
2018-11-01,22,327619,2018,Logan Square,73757.0,4441.869924210583
2018-11-01,23,66978,2018,Humboldt Park,56248.0,1190.7623382164697
2018-11-01,24,552707,2018,West Town,85307.0,6479.034545816873
2018-11-01,25,83083,2018,Austin,97611.0,851.1643154972288
2018-11-01,26,18553,2018,West Garfield Park,17499.0,1060.2320132579005
2018-11-01,27,32012,2018,East Garfield Park,20225.0,1582.7935723114956
2018-11-01,28,786968,2018,Near West Side,62560.0,12579.411764705883
2018-11-01,29,49759,2018,North Lawndale,35423.0,1404.7088050136917
2018-11-01,30,50820,2018,South Lawndale,73983.0,686.9145614533069
2018-11-01,31,109120,2018,Lower West Side,32998.0,3306.8670828535064
2018-11-01,32,796628,2018,The Loop,35010.0,22754.298771779493
2018-11-01,33,181690,2018,Near South Side,23190.0,7834.842604570936
2018-11-01,34,42871,2018,Armour Square,13699.0,3129.4985035404043
2018-11-01,35,56801,2018,Douglas,20559.0,2762.828931368257
2018-11-01,36,10577,2018,Oakland,6474.0,1633.7658325610134
2018-11-01,37,7391,2018,Fuller Park,2457.0,3008.1400081400084
2018-11-01,38,47293,2018,Grand Boulevard,22056.0,2144.223793978963
2018-11-01,39,40934,2018,Kenwood,17074.0,2397.446409745812
2018-11-01,40,22380,2018,Washington Park,11868.0,1885.7431749241657
2018-11-01,41,134826,2018,Hyde Park,26573.0,5073.796710947202
2018-11-01,42,44110,2018,Woodlawn,23808.0,1852.7385752688172
2018-11-01,43,59809,2018,South Shore,50768.0,1178.0846202332177
2018-11-01,44,45044,2018,Chatham,30991.0,1453.4542286470264
2018-11-01,45,8955,2018,Avalon Park,9795.0,914.2419601837672
2018-11-01,46,18904,2018,South Chicago,27601.0,684.9027209159088
2018-11-01,47,2556,2018,Burnside,2442.0,1046.6830466830468
2018-11-01,48,9878,2018,Calumet Heights,13306.0,742.3718623177514
2018-11-01,49,36417,2018,Roseland,42327.0,860.3728116804876
2018-11-01,50,7940,2018,Pullman,6620.0,1199.3957703927492
2018-11-01,51,9448,2018,South Deering,14635.0,645.5756747523061
2018-11-01,52,3356,2018,East Side,22982.0,146.0273257331825
2018-11-01,53,14833,2018,West Pullman,27582.0,537.7782611848307
2018-11-01,54,4248,2018,Riverdale,7382.0,575.4538065564888
2018-11-01,55,2231,2018,Hegewisch,9182.0,242.9753866260074
2018-11-01,56,111144,2018,Garfield Ridge,35470.0,3133.4648999154215
2018-11-01,57,16060,2018,Archer Heights,13233.0,1213.6325852036575
2018-11-01,58,34955,2018,Brighton Park,44231.0,790.2828333069567
2018-11-01,59,19215,2018,McKinley Park,16064.0,1196.1528884462152
2018-11-01,60,49247,2018,Bridgeport,32789.0,1501.9366250876817
2018-11-01,61,38021,2018,New City,41098.0,925.1301766509318
2018-11-01,62,12109,2018,West Elsdon,19958.0,606.7241206533721
2018-11-01,63,23468,2018,Gage Park,40926.0,573.4252064702146
2018-11-01,64,11069,2018,Clearing,25200.0,439.24603174603175
2018-11-01,65,20928,2018,West Lawn,33595.0,622.949843726745
2018-11-01,66,36471,2018,Chicago Lawn,54265.0,672.090666175251
2018-11-01,67,26611,2018,West Englewood,30798.0,864.0496136112735
2018-11-01,68,31235,2018,Englewood,26020.0,1200.4227517294387
2018-11-01,69,41066,2018,Greater Grand Crossing,32461.0,1265.087335571917
2018-11-01,70,21577,2018,Ashburn,43283.0,498.5098075456877
2018-11-01,71,40017,2018,Auburn Gresham,45770.0,874.3063141795936
2018-11-01,72,12500,2018,Beverly,20836.0,599.9232098291418
2018-11-01,73,19613,2018,Washington Heights,27055.0,724.9306967288856
2018-11-01,74,7326,2018,Mount Greenwood,19029.0,384.9913290241211
2018-11-01,75,14246,2018,Morgan Park,23035.0,618.450184501845
2018-11-01,76,304609,2018,O'Hare,13130.0,23199.4668697639
2018-11-01,77,123705,2018,Edgewater,55430.0,2231.733718203139
2018-12-01,1,96988,2018,Rogers Park,55500.0,1747.5315315315315
2018-12-01,2,72117,2018,West Ridge,73723.0,978.2157535640167
2018-12-01,3,193501,2018,Uptown,56296.0,3437.206906352139
2018-12-01,4,94709,2018,Lincoln Square,41483.0,2283.0798158281705
2018-12-01,5,110967,2018,North Center,34942.0,3175.7483830347437
2018-12-01,6,608865,2018,Lake View,99876.0,6096.209299531419
2018-12-01,7,501193,2018,Lincoln Park,67260.0,7451.575973832887
2018-12-01,8,1474241,2018,Near North Side,86343.0,17074.238791795513
2018-12-01,9,9893,2018,Edison Park,11008.0,898.7100290697675
2018-12-01,10,26091,2018,Norwood Park,36164.0,721.4633337020241
2018-12-01,11,23091,2018,Jefferson Park,26755.0,863.0536348346104
2018-12-01,12,11575,2018,Forest Glen,18651.0,620.610154951477
2018-12-01,13,19815,2018,North Park,18743.0,1057.1946860161129
2018-12-01,14,55595,2018,Albany Park,51575.0,1077.9447406689287
2018-12-01,15,55736,2018,Portage Park,64517.0,863.8963373994452
2018-12-01,16,87796,2018,Irving Park,55417.0,1584.2791923056102
2018-12-01,17,22538,2018,Dunning,43444.0,518.7828008470675
2018-12-01,18,8830,2018,Montclare,13040.0,677.1472392638037
2018-12-01,19,61964,2018,Belmont Cragin,78107.0,793.321981384511
2018-12-01,20,22936,2018,Hermosa,24450.0,938.077709611452
2018-12-01,21,100046,2018,Avondale,38191.0,2619.62242413134
2018-12-01,22,338226,2018,Logan Square,73757.0,4585.680003253929
2018-12-01,23,68559,2018,Humboldt Park,56248.0,1218.8700042668183
2018-12-01,24,568898,2018,West Town,85307.0,6668.831397188976
2018-12-01,25,87566,2018,Austin,97611.0,897.0915163250044
2018-12-01,26,20137,2018,West Garfield Park,17499.0,1150.7514715126579
2018-12-01,27,33803,2018,East Garfield Park,20225.0,1671.3473423980222
2018-12-01,28,748388,2018,Near West Side,62560.0,11962.72378516624
2018-12-01,29,50552,2018,North Lawndale,35423.0,1427.095390000847
2018-12-01,30,50267,2018,South Lawndale,73983.0,679.4398713217902
2018-12-01,31,105024,2018,Lower West Side,32998.0,3182.738347778653
2018-12-01,32,748648,2018,The Loop,35010.0,21383.833190516994
2018-12-01,33,150273,2018,Near South Side,23190.0,6480.077619663648
2018-12-01,34,37310,2018,Armour Square,13699.0,2723.5564639754725
2018-12-01,35,54178,2018,Douglas,20559.0,2635.2449049078264
2018-12-01,36,11041,2018,Oakland,6474.0,1705.4371331479765
2018-12-01,37,7444,2018,Fuller Park,2457.0,3029.71102971103
2018-12-01,38,47927,2018,Grand Boulevard,22056.0,2172.968806673921
2018-12-01,39,39930,2018,Kenwood,17074.0,2338.6435515989224
2018-12-01,40,22723,2018,Washington Park,11868.0,1914.644421975059
2018-12-01,41,108019,2018,Hyde Park,26573.0,4064.9907801151544
2018-12-01,42,41463,2018,Woodlawn,23808.0,1741.5574596774193
2018-12-01,43,62849,2018,South Shore,50768.0,1237.964859754176
2018-12-01,44,47363,2018,Chatham,30991.0,1528.2824045690684
2018-12-01,45,9386,2018,Avalon Park,9795.0,958.2440020418582
2018-12-01,46,19751,2018,South Chicago,27601.0,715.5900148545343
2018-12-01,47,2839,2018,Burnside,2442.0,1162.5716625716627
2018-12-01,48,10596,2018,Calumet Heights,13306.0,796.3324815872539
2018-12-01,49,38371,2018,Roseland,42327.0,906.5371984785126
2018-12-01,50,8073,2018,Pullman,6620.0,1219.486404833837
2018-12-01,51,9902,2018,South Deering,14635.0,676.5971984967543
2018-12-01,52,3589,2018,East Side,22982.0,156.16569489165434
2018-12-01,53,15999,2018,West Pullman,27582.0,580.0522079617142
2018-12-01,54,4460,2018,Riverdale,7382.0,604.1723110268221
2018-12-01,55,2439,2018,Hegewisch,9182.0,265.6284033979525
2018-12-01,56,91225,2018,Garfield Ridge,35470.0,2571.8917394981677
2018-12-01,57,16116,2018,Archer Heights,13233.0,1217.8644298345048
2018-12-01,58,35117,2018,Brighton Park,44231.0,793.9454228934458
2018-12-01,59,19750,2018,McKinley Park,16064.0,1229.4571713147411
2018-12-01,60,49001,2018,Bridgeport,32789.0,1494.4341089999696
2018-12-01,61,38424,2018,New City,41098.0,934.9360066183269
2018-12-01,62,11956,2018,West Elsdon,19958.0,599.0580218458763
2018-12-01,63,24143,2018,Gage Park,40926.0,589.9183892879832
2018-12-01,64,11446,2018,Clearing,25200.0,454.2063492063492
2018-12-01,65,21158,2018,West Lawn,33595.0,629.7961006102098
2018-12-01,66,37302,2018,Chicago Lawn,54265.0,687.4044043121718
2018-12-01,67,28162,2018,West Englewood,30798.0,914.4100266251055
2018-12-01,68,31835,2018,Englewood,26020.0,1223.4819369715603
2018-12-01,69,43358,2018,Greater Grand Crossing,32461.0,1335.6951418625426
2018-12-01,70,22122,2018,Ashburn,43283.0,511.1013561906522
2018-12-01,71,41640,2018,Auburn Gresham,45770.0,909.76622241643
2018-12-01,72,13661,2018,Beverly,20836.0,655.6440775580725
2018-12-01,73,20629,2018,Washington Heights,27055.0,762.48382923674
2018-12-01,74,7973,2018,Mount Greenwood,19029.0,418.99206474328656
2018-12-01,75,15099,2018,Morgan Park,23035.0,655.4807901020187
2018-12-01,76,233533,2018,O'Hare,13130.0,17786.214775323686
2018-12-01,77,125094,2018,Edgewater,55430.0,2256.7923507126106
2019-01-01,1,105315,2019,Rogers Park,55062.0,1912.6620900076277
2019-01-01,2,76895,2019,West Ridge,76215.0,1008.9221281899889
2019-01-01,3,188046,2019,Uptown,57973.0,3243.682403877667
2019-01-01,4,97321,2019,Lincoln Square,41715.0,2332.9977226417354
2019-01-01,5,111091,2019,North Center,35789.0,3104.0543183659784
2019-01-01,6,608279,2019,Lake View,100470.0,6054.334627251916
2019-01-01,7,498093,2019,Lincoln Park,67710.0,7356.269384138237
2019-01-01,8,1412473,2019,Near North Side,88893.0,15889.586356631005
2019-01-01,9,7786,2019,Edison Park,11605.0,670.9177078845325
2019-01-01,10,24702,2019,Norwood Park,37089.0,666.0195745369248
2019-01-01,11,22719,2019,Jefferson Park,26808.0,847.4709042076992
2019-01-01,12,10412,2019,Forest Glen,19019.0,547.4525474525475
2019-01-01,13,20945,2019,North Park,18842.0,1111.612355376287
2019-01-01,14,58055,2019,Albany Park,51992.0,1116.6140944760732
2019-01-01,15,56682,2019,Portage Park,64307.0,881.4281493461053
2019-01-01,16,88361,2019,Irving Park,54606.0,1618.1555140460755
2019-01-01,17,22904,2019,Dunning,43689.0,524.250955618119
2019-01-01,18,9608,2019,Montclare,13830.0,694.7216196673897
2019-01-01,19,65024,2019,Belmont Cragin,79910.0,813.7154298585909
2019-01-01,20,23912,2019,Hermosa,24144.0,990.39098740888
2019-01-01,21,99977,2019,Avondale,37368.0,2675.470991222436
2019-01-01,22,338477,2019,Logan Square,73046.0,4633.7513347753475
2019-01-01,23,72542,2019,Humboldt Park,56427.0,1285.5902316267036
2019-01-01,24,562174,2019,West Town,84502.0,6652.789283093891
2019-01-01,25,94002,2019,Austin,95260.0,986.7940373714046
2019-01-01,26,21697,2019,West Garfield Park,17163.0,1264.1729301404184
2019-01-01,27,36033,2019,East Garfield Park,19996.0,1802.0104020804163
2019-01-01,28,773466,2019,Near West Side,62872.0,12302.233108537981
2019-01-01,29,55505,2019,North Lawndale,35947.0,1544.078782652238
2019-01-01,30,54677,2019,South Lawndale,74851.0,730.4778827270177
2019-01-01,31,107384,2019,Lower West Side,32888.0,3265.1423011432744
2019-01-01,32,753281,2019,The Loop,35880.0,20994.453734671126
2019-01-01,33,147615,2019,Near South Side,23620.0,6249.576629974598
2019-01-01,34,37219,2019,Armour Square,13455.0,2766.1835748792273
2019-01-01,35,57103,2019,Douglas,20781.0,2747.846590635677
2019-01-01,36,11025,2019,Oakland,6645.0,1659.1422121896162
2019-01-01,37,7863,2019,Fuller Park,2439.0,3223.8622386223865
2019-01-01,38,49938,2019,Grand Boulevard,22313.0,2238.0674942858427
2019-01-01,39,40822,2019,Kenwood,17189.0,2374.89091861074
2019-01-01,40,24083,2019,Washington Park,11502.0,2093.809772213528
2019-01-01,41,134243,2019,Hyde Park,26827.0,5004.025794908115
2019-01-01,42,47095,2019,Woodlawn,23268.0,2024.0244112085265
2019-01-01,43,66041,2019,South Shore,50418.0,1309.8694910547822
2019-01-01,44,51110,2019,Chatham,31120.0,1642.3521850899742
2019-01-01,45,9622,2019,Avalon Park,9985.0,963.6454682023035
